C1
X1,X2,Class
20,2
2.39730032162025,5.1242387716733,E
1.83575615784078,5.63131235645659,E
5.57826039789073,3.30656844285455,E
3.33737672112933,4.58102011378512,E
2.30227309660831,3.76453511369171,E
3.37886290022875,3.76090799640229,E
3.7113678979499,3.89823824724011,E
3.63186640117458,6.72078421288655,E
1.39268891754967,7.35726337343442,E
2.23912294639809,3.81772091137985,E
3.91983744737481,5.46122834149548,E
3.01824034621951,7.14814931224869,E
1.32427077846087,5.64784485377921,E
4.17743686666102,5.38483162921532,E
3.08706474022824,5.72258083435877,E
5.01492723887379,3.93276380474802,E
3.7520145402469,5.80032950619798,E
2.91353889353237,5.66672068304898,E
4.72772016591164,3.79984819878949,E
3.07396601129239,3.12731864930253,E
2.02594830782382,4.79784339294257,E
2.9338943679047,6.20630212162072,E
4.473017728323,5.23548700583091,E
3.70508964695795,5.72849495975511,E
1.31636755058175,4.43028686015633,E
1.81612095326238,4.20290732032559,E
4.20577400135178,5.4869271328674,E
3.24485643619026,2.33144567759106,E
2.32929893364312,5.21755906112792,E
3.98897303636683,4.9611150498452,E
4.03201531039249,5.5170577685903,E
3.22564751188799,3.45131341437653,E
3.31293137942388,6.24790253550514,E
4.13996046357216,5.20486948911413,E
1.18779968108089,5.32754534963461,E
3.08946543383056,2.86215305801024,E
3.71905254355615,4.23013496471522,E
3.6338741806357,5.59703967440792,E
2.2548566751039,4.30086317132699,E
3.446748274646,5.73664650575712,E
3.72777600443447,4.08133144892323,E
2.06407476490108,4.51523837769538,E
4.91188108236201,4.23097037894579,E
3.34660809228549,4.57389930113857,E
2.58108955216569,4.01570797230977,E
2.12403627302283,5.18649338780501,E
3.75851218698308,6.08009380685197,E
3.98357261366744,3.21031672567941,E
2.37496199420077,5.19836193467971,E
3.68452045278934,4.77046226317281,E
2.49971686376756,5.35908001929478,E
4.68279089528534,3.79759747120876,E
2.79991741973538,6.54904541188931,E
3.93673833197959,4.31347612586796,E
2.25898463745756,3.38555840351288,E
5.12580071389503,5.06250074228735,E
2.12303299495354,5.84239268548803,E
1.80609186813316,4.45239029573659,E
3.56490770440364,4.71781538041562,E
2.97996277966468,4.99344404937559,E
1.07463241460053,4.36044110424154,E
5.09882206962329,3.759115133868,E
2.12968216576715,5.9237133095544,E
5.0420258906601,4.79955923171438,E
3.66239587233194,4.40537513533588,E
1.0248502423049,2.75732030057538,E
3.38913317507356,3.7190389113019,E
4.27266363899837,5.31390820906496,E
4.36252734951568,6.32402480155627,E
3.24663298602433,2.69479960531227,E
3.72731611499176,5.2582928061525,E
2.53218504979872,4.32558940996323,E
4.05892465790821,4.4693789726729,E
3.00446107123173,3.89402015887452,E
3.00154492541931,4.50235557288281,E
2.92095813054933,5.28996511174144,E
2.980829805091,4.87807049933523,E
4.03295572413924,4.98594404959839,E
2.98669372940109,5.01928205834106,E
3.0648169623066,5.10459699877237,E
5.25362925736172,3.22603885473678,E
2.42037567794943,5.74721604963317,E
1.95583098705152,6.57232888647981,E
1.14972700600029,4.76233490619263,E
3.52492799503757,4.10626617211786,E
3.30763087839863,5.62729513617453,E
3.32663054645453,3.71257512263071,E
3.39080201324785,5.00619242096583,E
4.37764278829628,3.01204012259984,E
3.17873422031326,2.93699579878851,E
4.40798985574487,5.31937930650535,E
3.29401433336843,3.88800006492463,E
4.14449491078003,4.99522291735072,E
3.82438747422429,6.35864858113583,E
4.93935503061489,4.89915536267228,E
3.10070699140484,3.49767295607361,E
1.75489840468562,5.83925620939727,E
0.757206121587828,2.61491918458231,E
2.93481351250313,4.89312444978484,E
3.48998956583818,5.15771325198462,E
1.92263640994386,4.20152149180356,E
2.33257419846589,3.77821545799201,E
3.39271212607865,3.56322521544527,E
3.79722690685826,4.08844868600896,E
4.43341484535752,5.64918917968426,E
3.07328709046915,5.38359146174513,E
2.19129472072294,4.58101365832356,E
1.63437772819398,4.72795269555983,E
2.65348528388227,5.18251921585854,E
3.03196147116517,5.20225234899124,E
2.93899146145912,3.72324897826958,E
3.01429545318976,5.53850504652405,E
3.86117166581427,3.86674655614093,E
2.82609439047026,5.67138458753217,E
2.26049122517868,4.52867266563769,E
2.98544430281244,4.25524257218284,E
3.57505779546476,4.98286065777484,E
3.00081515109148,5.77212344907457,E
1.8512235418691,4.11152036978715,E
1.20106630952729,4.07665753785943,E
1.51602785198169,4.13834609802564,E
2.42986927844019,6.88617443718624,E
2.4935124202414,5.55345291893522,E
1.80779407586067,3.98550761616475,E
3.33167999706475,3.7171565744741,E
