,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x32y8|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x32y8|-2,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3
